date,Q,target
2025-01-13,34.713000000000015,38.57
2025-01-14,36.641500000000015,32.46
2025-01-15,30.837000000000014,37.52
2025-01-16,35.64400000000002,32.32
2025-01-17,30.704000000000015,32.18
2025-01-18,30.571000000000012,29.31
2025-01-19,27.84450000000001,23.75
2025-01-20,22.56250000000001,24.88
2025-01-21,23.63600000000001,22.36
2025-01-22,21.242000000000008,24.37
2025-01-23,23.15150000000001,31.82
2025-01-24,30.229000000000013,32.68
2025-01-25,31.046000000000014,42.66
2025-01-26,40.527000000000015,31.11
2025-01-27,29.55450000000001,32.29
2025-01-28,30.675500000000014,33.74
2025-01-29,32.05300000000002,36.41
2025-01-30,34.58950000000001,33.05
2025-01-31,31.39750000000001,33.06
2025-02-01,31.407000000000014,36.85
2025-02-02,35.007500000000014,21.7
2025-02-03,20.61500000000001,20.96
2025-02-04,19.91200000000001,26.9
2025-02-05,25.55500000000001,19.25
2025-02-06,18.28750000000001,26.92
2025-02-07,25.574000000000012,25.92
2025-02-08,24.624000000000013,22.97
2025-02-09,21.821500000000007,24.39
2025-02-10,23.17050000000001,30.72
2025-02-11,29.18400000000001,35.49
2025-02-12,33.71550000000001,46.19
2025-02-13,43.88050000000002,25.71
2025-02-14,24.424500000000013,24.17
2025-02-15,22.96150000000001,23.89
2025-02-16,22.69550000000001,31.11
2025-02-17,29.55450000000001,30.33
2025-02-18,28.813500000000012,27.57
2025-02-19,26.191500000000012,27.65
2025-02-20,26.26750000000001,24.69
2025-02-21,23.45550000000001,23.18
2025-02-22,22.021000000000008,26.9
2025-02-23,25.55500000000001,38.12
2025-02-24,36.21400000000001,21.77
2025-02-25,20.681500000000007,22.09
2025-02-26,20.98550000000001,25.77
2025-02-27,24.48150000000001,23.97
2025-02-28,22.771500000000007,31.2
2025-03-01,29.64000000000001,33.55
2025-03-02,31.87250000000001,41.95
2025-03-03,39.85250000000002,27.41
2025-03-04,26.03950000000001,31.79
2025-03-05,30.200500000000012,32.92
2025-03-06,31.274000000000015,25.44
2025-03-07,24.16800000000001,29.29
2025-03-08,27.825500000000012,28.47
2025-03-09,27.04650000000001,38.07
2025-03-10,36.16650000000001,24.72
2025-03-11,23.48400000000001,32.29
2025-03-12,30.675500000000014,26.8
2025-03-13,25.46000000000001,29.72
2025-03-14,28.234000000000012,28.79
2025-03-15,27.35050000000001,38.2
2025-03-16,36.29000000000002,31.11
2025-03-17,29.55450000000001,31.67
2025-03-18,30.086500000000015,33.17
2025-03-19,31.511500000000016,29.78
2025-03-20,28.291000000000015,21.23
2025-03-21,20.16850000000001,34.44
2025-03-22,32.71800000000001,33.34
2025-03-23,31.673000000000016,31.45
2025-03-24,29.877500000000012,29.72
2025-03-25,28.234000000000012,30.79
2025-03-26,29.250500000000013,30.45
2025-03-27,28.927500000000013,24.72
2025-03-28,23.48400000000001,28.87
2025-03-29,27.42650000000001,34.21
2025-03-30,32.49950000000001,31.0
2025-03-31,29.450000000000014,21.19
2025-04-01,20.13050000000001,32.11
2025-04-02,30.50450000000001,19.07
2025-04-03,18.11650000000001,14.2
2025-04-04,13.490000000000006,25.44
2025-04-05,24.16800000000001,24.26
2025-04-06,23.04700000000001,26.85
2025-04-07,25.50750000000001,17.48
2025-04-08,16.60600000000001,17.88
2025-04-09,16.986000000000008,19.28
2025-04-10,18.31600000000001,25.33
2025-04-11,24.06350000000001,25.49
2025-04-12,24.21550000000001,37.07
2025-04-13,35.21650000000002,38.43
2025-04-14,36.50850000000001,29.68
2025-04-15,28.196000000000012,31.37
2025-04-16,29.801500000000015,32.27
2025-04-17,30.656500000000015,34.39
2025-04-18,32.67050000000001,23.81
2025-04-19,22.61950000000001,21.58
2025-04-20,20.50100000000001,36.47
2025-04-21,34.64650000000001,32.28
2025-04-22,30.666000000000015,21.63
2025-04-23,20.548500000000008,20.06
